Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:39:26.457157 - 1969-12-31 22:39:26.493907
ts:  1969-12-31 22:39:26.461157 - 1969-12-31 22:39:26.494126
ts:  1969-12-31 22:39:26.465157 - 1969-12-31 22:39:26.494442
ts:  1969-12-31 22:39:26.469157 - 1969-12-31 22:39:26.494640
ts:  1969-12-31 22:39:26.473157 - 1969-12-31 22:39:26.494758
ts:  1969-12-31 22:39:26.477157 - 1969-12-31 22:39:26.494827
ts:  1969-12-31 22:39:26.481157 - 1969-12-31 22:39:26.494951
ts:  1969-12-31 22:39:26.485157 - 1969-12-31 22:39:26.495092
ts:  1969-12-31 22:39:26.489157 - 1969-12-31 22:39:26.495221
ts:  1969-12-31 22:39:26.493157 - 1969-12-31 22:39:26.495341
ts:  1969-12-31 22:39:26.497859 - 1969-12-31 22:39:26.534667
ts:  1969-12-31 22:39:26.501859 - 1969-12-31 22:39:26.534792
ts:  1969-12-31 22:39:26.505859 - 1969-12-31 22:39:26.534840
ts:  1969-12-31 22:39:26.509859 - 1969-12-31 22:39:26.534871
ts:  1969-12-31 22:39:26.513859 - 1969-12-31 22:39:26.534902
ts:  1969-12-31 22:39:26.517859 - 1969-12-31 22:39:26.534963
ts:  1969-12-31 22:39:26.521859 - 1969-12-31 22:39:26.534990
ts:  1969-12-31 22:39:26.525859 - 1969-12-31 22:39:26.535017
ts:  1969-12-31 22:39:26.529859 - 1969-12-31 22:39:26.535042
ts:  1969-12-31 22:39:26.533859 - 1969-12-31 22:39:26.535068
ts:  1969-12-31 22:39:26.529885 - 1969-12-31 22:39:26.566566
ts:  1969-12-31 22:39:26.533885 - 1969-12-31 22:39:26.566944
ts:  1969-12-31 22:39:26.537885 - 1969-12-31 22:39:26.567027
ts:  1969-12-31 22:39:26.541885 - 1969-12-31 22:39:26.567080
ts:  1969-12-31 22:39:26.545885 - 1969-12-31 22:39:26.567106
ts:  1969-12-31 22:39:26.549885 - 1969-12-31 22:39:26.567132
ts:  1969-12-31 22:39:26.553885 - 1969-12-31 22:39:26.567156
ts:  1969-12-31 22:39:26.557885 - 1969-12-31 22:39:26.567187
ts:  1969-12-31 22:39:26.561885 - 1969-12-31 22:39:26.567232
ts:  1969-12-31 22:39:26.565885 - 1969-12-31 22:39:26.567306
ts:  1969-12-31 22:39:26.563622 - 1969-12-31 22:39:26.600503
ts:  1969-12-31 22:39:26.567622 - 1969-12-31 22:39:26.601066
ts:  1969-12-31 22:39:26.571622 - 1969-12-31 22:39:26.601135
ts:  1969-12-31 22:39:26.575622 - 1969-12-31 22:39:26.601173
ts:  1969-12-31 22:39:26.579622 - 1969-12-31 22:39:26.601209
ts:  1969-12-31 22:39:26.583622 - 1969-12-31 22:39:26.601257
ts:  1969-12-31 22:39:26.587622 - 1969-12-31 22:39:26.601296
ts:  1969-12-31 22:39:26.591622 - 1969-12-31 22:39:26.601334
ts:  1969-12-31 22:39:26.595622 - 1969-12-31 22:39:26.601368
ts:  1969-12-31 22:39:26.599622 - 1969-12-31 22:39:26.601391
ts:  1969-12-31 22:39:26.590447 - 1969-12-31 22:39:26.628047
ts:  1969-12-31 22:39:26.594447 - 1969-12-31 22:39:26.628253
ts:  1969-12-31 22:39:26.598447 - 1969-12-31 22:39:26.628299
ts:  1969-12-31 22:39:26.602447 - 1969-12-31 22:39:26.628337
ts:  1969-12-31 22:39:26.606447 - 1969-12-31 22:39:26.628380
ts:  1969-12-31 22:39:26.610447 - 1969-12-31 22:39:26.628417
ts:  1969-12-31 22:39:26.614447 - 1969-12-31 22:39:26.628454
ts:  1969-12-31 22:39:26.618447 - 1969-12-31 22:39:26.628488
ts:  1969-12-31 22:39:26.622447 - 1969-12-31 22:39:26.628520
ts:  1969-12-31 22:39:26.626447 - 1969-12-31 22:39:26.628561
ts:  1969-12-31 22:39:26.619303 - 1969-12-31 22:39:26.657273
ts:  1969-12-31 22:39:26.623303 - 1969-12-31 22:39:26.657874
ts:  1969-12-31 22:39:26.627303 - 1969-12-31 22:39:26.660166
ts:  1969-12-31 22:39:26.631303 - 1969-12-31 22:39:26.660853
ts:  1969-12-31 22:39:26.635303 - 1969-12-31 22:39:26.661266
ts:  1969-12-31 22:39:26.639303 - 1969-12-31 22:39:26.661381
ts:  1969-12-31 22:39:26.643303 - 1969-12-31 22:39:26.661478
ts:  1969-12-31 22:39:26.647303 - 1969-12-31 22:39:26.661591
