Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.191909 - 1969-12-31 22:16:47.228630
ts:  1969-12-31 22:16:47.195909 - 1969-12-31 22:16:47.228709
ts:  1969-12-31 22:16:47.199909 - 1969-12-31 22:16:47.228789
ts:  1969-12-31 22:16:47.203909 - 1969-12-31 22:16:47.228821
ts:  1969-12-31 22:16:47.207909 - 1969-12-31 22:16:47.228843
ts:  1969-12-31 22:16:47.211909 - 1969-12-31 22:16:47.228863
ts:  1969-12-31 22:16:47.215909 - 1969-12-31 22:16:47.228895
ts:  1969-12-31 22:16:47.219909 - 1969-12-31 22:16:47.228931
ts:  1969-12-31 22:16:47.223909 - 1969-12-31 22:16:47.228965
ts:  1969-12-31 22:16:47.227909 - 1969-12-31 22:16:47.228991
ts:  1969-12-31 22:16:47.218415 - 1969-12-31 22:16:47.255773
ts:  1969-12-31 22:16:47.222415 - 1969-12-31 22:16:47.256368
ts:  1969-12-31 22:16:47.226415 - 1969-12-31 22:16:47.256848
ts:  1969-12-31 22:16:47.230415 - 1969-12-31 22:16:47.257198
ts:  1969-12-31 22:16:47.234415 - 1969-12-31 22:16:47.257361
ts:  1969-12-31 22:16:47.238415 - 1969-12-31 22:16:47.257496
ts:  1969-12-31 22:16:47.242415 - 1969-12-31 22:16:47.257581
ts:  1969-12-31 22:16:47.246415 - 1969-12-31 22:16:47.257696
ts:  1969-12-31 22:16:47.250415 - 1969-12-31 22:16:47.257791
ts:  1969-12-31 22:16:47.254415 - 1969-12-31 22:16:47.257950
ts:  1969-12-31 22:16:47.245085 - 1969-12-31 22:16:47.281826
ts:  1969-12-31 22:16:47.249085 - 1969-12-31 22:16:47.282070
ts:  1969-12-31 22:16:47.253085 - 1969-12-31 22:16:47.282135
ts:  1969-12-31 22:16:47.257085 - 1969-12-31 22:16:47.282245
ts:  1969-12-31 22:16:47.261085 - 1969-12-31 22:16:47.282287
ts:  1969-12-31 22:16:47.265085 - 1969-12-31 22:16:47.282316
ts:  1969-12-31 22:16:47.269085 - 1969-12-31 22:16:47.282345
ts:  1969-12-31 22:16:47.273085 - 1969-12-31 22:16:47.282373
ts:  1969-12-31 22:16:47.277085 - 1969-12-31 22:16:47.282400
ts:  1969-12-31 22:16:47.281085 - 1969-12-31 22:16:47.282427
ts:  1969-12-31 22:16:47.274921 - 1969-12-31 22:16:47.313077
